1.24,39.7281,28.4123,102.001,9.55659
1.25,39.9094,28.5396,101.996,9.49864
1.26,40.0891,28.6659,101.991,9.44114
1.27,40.2674,28.7911,101.986,9.38408
1.28,40.4442,28.9153,101.981,9.32745
1.29,40.6195,29.0384,101.975,9.27125
1.3,40.7933,29.1605,101.969,9.21548
1.31,40.9657,29.2816,101.963,9.16013
1.32,41.1365,29.4016,101.956,9.1052
1.33,41.3059,29.5206,101.95,9.05069
1.34,41.4738,29.6385,101.943,8.99659
1.35,41.6403,29.7554,101.936,8.94289
1.36,41.8053,29.8712,101.929,8.88961
1.37,41.9688,29.9861,101.921,8.83672
1.38,42.1308,30.0998,101.913,8.78422
1.39,42.2914,30.2126,101.906,8.73212
1.4,42.4505,30.3243,101.897,8.68041
1.41,42.6082,30.435,101.889,8.62909
1.42,42.7644,30.5446,101.881,8.57815
1.43,42.9191,30.6532,101.872,8.52759
1.44,43.0724,30.7608,101.863,8.47741
1.45,43.2242,30.8674,101.854,8.42759
1.46,43.3745,30.9729,101.844,8.37815
1.47,43.5235,31.0774,101.835,8.32907
1.48,43.6709,31.1809,101.825,8.28036
1.49,43.8169,31.2833,101.815,8.232
1.5,43.9614,31.3848,101.805,8.184
1.51,44.1045,31.4852,101.795,8.13636
1.52,44.2462,31.5845,101.784,8.08906
1.53,44.3864,31.6829,101.773,8.04211
1.54,44.5251,31.7802,101.763,7.99551
1.55,44.6624,31.8766,101.751,7.94924
1.56,44.7983,31.9719,101.74,7.90332
1.57,44.9327,32.0661,101.729,7.85773
1.58,45.0657,32.1594,101.717,7.81247
1.59,45.1973,32.2516,101.705,7.76753
1.6,45.3274,32.3429,101.693,7.72293
1.61,45.456,32.4331,101.681,7.67865
1.62,45.5833,32.5223,101.668,7.63469
1.63,45.7091,32.6105,101.656,7.59104
1.64,45.8334,32.6976,101.643,7.54771
1.65,45.9563,32.7838,101.63,7.50469
1.66,46.0778,32.8689,101.617,7.46198
1.67,46.1979,32.9531,101.604,7.41958
1.68,46.3165,33.0362,101.59,7.37748
1.69,46.4337,33.1183,101.577,7.33569
1.7,46.5495,33.1994,101.563,7.29419
1.71,46.6639,33.2795,101.549,7.25299
1.72,46.7768,33.3586,101.535,7.21208
1.73,46.8883,33.4367,101.52,7.17146
1.74,46.9984,33.5138,101.506,7.13113
1.75,47.107,33.5899,101.491,7.09108
1.76,47.2142,33.6649,101.476,7.05132
1.77,47.32,33.739,101.461,7.01184
1.78,47.4244,33.8121,101.446,6.97264
1.79,47.5274,33.8841,101.431,6.93372
1.8,47.6289,33.9552,101.415,6.89506
1.81,47.7291,34.0253,101.4,6.85668
1.82,47.8278,34.0943,101.384,6.81857
1.83,47.9251,34.1624,101.368,6.78073
1.84,48.021,34.2294,101.352,6.74315
1.85,48.1154,34.2955,101.335,6.70583
1.86,48.2085,34.3606,101.319,6.66877
1.87,48.3001,34.4246,101.302,6.63197
